"currency","ts","expiration","strike","gamma_level","dealer_net_inventory","dealer_tot_inventory"
"BTC","2024-04-17 19:00:00","2024-12-27 08:00:00",39000,0,7,28.6
"BTC","2024-04-17 19:00:00","2024-12-27 08:00:00",38000,0,90.2,144.8
"BTC","2024-04-17 19:00:00","2024-12-27 08:00:00",37000,0,-6.6,-45
"BTC","2024-04-17 19:00:00","2024-12-27 08:00:00",36000,0,-3,-47
"BTC","2024-04-17 19:00:00","2024-12-27 08:00:00",35000,0,127,266.8
"BTC","2024-04-17 19:00:00","2024-12-27 08:00:00",34000,0,1.2,30.8
"BTC","2024-04-17 19:00:00","2024-12-27 08:00:00",33000,0,1.6,27.3
"BTC","2024-04-17 19:00:00","2024-12-27 08:00:00",32000,0,-9.8,-27.1
"BTC","2024-04-17 19:00:00","2024-12-27 08:00:00",31000,0,-2.7,-30
"BTC","2024-04-17 19:00:00","2024-12-27 08:00:00",30000,0,38.5,102.4
"BTC","2024-04-17 19:00:00","2024-12-27 08:00:00",29000,0,20,57
"BTC","2024-04-17 19:00:00","2024-12-27 08:00:00",28000,0,14.7,195.6
"BTC","2024-04-17 19:00:00","2024-12-27 08:00:00",25000,0,-36.5,-276.3
"BTC","2024-04-17 19:00:00","2024-12-27 08:00:00",20000,0,-16.9,-82
"BTC","2024-04-17 19:00:00","2024-12-27 08:00:00",15000,0,-21.2,-86.2
"BTC","2024-04-17 19:00:00","2024-12-27 08:00:00",10000,0,2.6,56.1
"BTC","2024-04-17 19:00:00","2024-09-27 08:00:00",240000,0,8.8,137.2
"BTC","2024-04-17 19:00:00","2024-09-27 08:00:00",200000,0,47.6,200.6
"BTC","2024-04-17 19:00:00","2024-09-27 08:00:00",180000,0,-61.6,-287.2
"BTC","2024-04-17 19:00:00","2024-09-27 08:00:00",160000,0,340.1,728.3
"BTC","2024-04-17 19:00:00","2024-09-27 08:00:00",140000,0,-423.9,-913.7
"BTC","2024-04-17 19:00:00","2024-09-27 08:00:00",130000,0,-13.5,-340.2
"BTC","2024-04-17 19:00:00","2024-09-27 08:00:00",125000,0,28.5,112.6
"BTC","2024-04-17 19:00:00","2024-09-27 08:00:00",120000,0,-197,-463.8
"BTC","2024-04-17 19:00:00","2024-09-27 08:00:00",115000,0,286.5,371
"BTC","2024-04-17 19:00:00","2024-09-27 08:00:00",110000,-0.01,-928.4,-1134.1
"BTC","2024-04-17 19:00:00","2024-09-27 08:00:00",105000,0,6.89,156.9
"BTC","2024-04-17 19:00:00","2024-09-27 08:00:00",100000,-0.01,-29.4,-1491.8
"BTC","2024-04-17 19:00:00","2024-09-27 08:00:00",95000,0,120.3,396.7
"BTC","2024-04-17 19:00:00","2024-09-27 08:00:00",90000,0.01,407.39,1935
