"pre_tx_ob_ts","tx_ts","post_tx_ob_ts","trade_seq","trade_id","instrument_name","currency","expiration","strike","putcall","block_trade_id","liquidation","direction","tick_direction","tx_amount","tx_iv","cash_iv","price","price_usd","index_price","underlying_price","volume_24h","high_24h","low_24h","pre_tx_bb_size","pre_tx_bb_price","pre_tx_bb_iv","pre_tx_mid_iv","pre_tx_mid_price","pre_tx_mark_iv","pre_tx_mark_price","pre_tx_ba_iv","pre_tx_ba_price","pre_tx_ba_size","post_tx_bb_size","post_tx_bb_price","post_tx_bb_iv","post_tx_mid_iv","post_tx_mid_price","post_tx_mark_iv","post_tx_mark_price","post_tx_ba_iv","post_tx_ba_price","post_tx_ba_size","delta","gamma","theta","vega","rho","pre_tx_oi","post_tx_oi","oi_change","dbt_dir","gvol_dir","max_score_perc"
"2024-04-17 19:41:35.969","2024-04-17 19:42:01.964","2024-04-17 19:42:18.394","235","297861653","BTC-18APR24-59000-P","BTC","2024-04-18 08:00:00",59000,"P",,,"buy","PlusTick",0.1,87.99,88.1,0.0032,194.51,60786.5,60826.2911,123.8,0.0105,0.0009,25.6,0.0031,85.7,88.22,0.00335,87.9,0.0033,90.74,0.0036,3.1,25.4,0.0028,84.64,88.27,0.00315,87.91,0.0031,91.91,0.0035,7.7,-0.1731,0.00013,-189.1229,5.83536,-0.1505,109.7,109.8,0,1,-1,55
"2024-04-17 19:41:35.653","2024-04-17 19:41:58.71","2024-04-17 19:41:58.71","87","297861650","BTC-19APR24-62500-C","BTC","2024-04-19 08:00:00",62500,"C",,,"buy","ZeroMinus",11.1,69.66,69.6,0.0075,456.09,60812.87,60804.05,147.7,0.0375,0.0065,4,0.007,68.66,69.83,0.00725,70.02,0.0073,71.01,0.0075,9.8,9.6,0.007,67.32,69.64,0.0075,70.07,0.0076,71.96,0.008,16.9,0.2784,0.00012,-304.4047,13.14123,0.6825,125.2,136.3,11.1,1,1,11
"2024-04-17 19:41:35.97","2024-04-17 19:41:54.699","2024-04-17 19:41:54.699","127","297861644","BTC-18APR24-60500-P","BTC","2024-04-18 08:00:00",60500,"P",,,"sell","ZeroPlus",0.1,77.03,78.1,0.009,547.52,60836.5,60826.4676,76.1,0.018,0.002,8.6,0.009,73.62,77.01,0.0095,75.3,0.0092,80.4,0.01,38.1,61,0.008,70.2,75.32,0.00875,75.32,0.0087,80.45,0.0095,68.1,-0.4188,0.00023,-335.3338,8.90423,-0.3652,48.9,49,0.1,-1,-1,11
"2024-04-17 19:41:35.432","2024-04-17 19:41:53.524","2024-04-17 19:41:53.524","378","297861643","BTC-3MAY24-68000-C","BTC","2024-05-03 08:00:00",68000,"C",,,"sell","PlusTick",5,69.44,70.6,0.0195,1186.28,60834.97,61001.078,59.9,0.0365,0.018,82.6,0.019,69.05,69.82,0.0195,69.69,0.0194,70.59,0.02,14.2,12.7,0.0195,69.44,70.2,0.02,69.7,0.0197,70.97,0.0205,57.5,0.2469,4e-05,-89.1892,39.70237,5.8925,133.4,133.4,0,-1,-1,33
"2024-04-17 19:41:35.651","2024-04-17 19:41:52.093","2024-04-17 19:41:52.116","242","297861641","BTC-31MAY24-63000-C","BTC","2024-05-31 08:00:00",63000,"C",,,"buy","ZeroMinus",5.9,68.98,72.6,0.084,5108.91,60820.36,61465.45,31.8,0.1115,0.0795,52.1,0.083,68.52,68.88,0.0835,69.19,0.0839,69.25,0.084,16.6,44.5,0.0835,68.61,69.15,0.08425,69.18,0.0843,69.7,0.085,24.3,0.5064,3e-05,-67.2912,84.65349,30.935,67.9,72.9,5,1,1,55
"2024-04-17 19:41:35.651","2024-04-17 19:41:52.093","2024-04-17 19:41:52.116","241","297861640","BTC-31MAY24-63000-C","BTC","2024-05-31 08:00:00",63000,"C",,,"buy","ZeroMinus",4.2,68.98,72.6,0.084,5108.91,60820.36,61465.45,31.8,0.1115,0.0795,52.1,0.083,68.52,68.88,0.0835,69.19,0.0839,69.25,0.084,16.6,44.5,0.0835,68.61,69.15,0.08425,69.18,0.0843,69.7,0.085,24.3,0.5064,3e-05,-67.2912,84.65349,30.935,67.9,72.9,5,1,1,55
"2024-04-17 19:41:35.651","2024-04-17 19:41:51.887","2024-04-17 19:41:51.887","240","297861639","BTC-31MAY24-63000-C","BTC","2024-05-31 08:00:00",63000,"C",,,"buy","ZeroMinus",0.1,68.98,72.6,0.084,5108.91,60820.36,61465.45,31.8,0.1115,0.0795,52.1,0.083,68.52,68.88,0.0835,69.19,0.0839,69.25,0.084,16.6,44.5,0.0835,68.61,68.79,0.08375,69.18,0.0843,68.98,0.084,15.8,0.5064,3e-05,-67.2912,84.65349,30.935,67.9,68.7,0.7,1,1,55
"2024-04-17 19:41:35.651","2024-04-17 19:41:49.491","2024-04-17 19:41:49.491","239","297861628","BTC-31MAY24-63000-C","BTC","2024-05-31 08:00:00",63000,"C",,,"buy","ZeroMinus",0.2,68.97,72.6,0.084,5108.67,60817.61,61466.9,31.6,0.1115,0.0795,52.1,0.083,68.52,68.88,0.0835,69.19,0.0839,69.25,0.084,16.6,44.5,0.0835,68.61,68.79,0.08375,69.18,0.0843,68.97,0.084,15.9,0.5065,3e-05,-67.2942,84.65535,30.9379,67.9,68.6,0.6,1,1,55
"2024-04-17 19:41:35.651","2024-04-17 19:41:47.594","2024-04-17 19:41:47.594","238","297861618","BTC-31MAY24-63000-C","BTC","2024-05-31 08:00:00",63000,"C",,,"buy","ZeroMinus",0.1,69.02,72.6,0.084,5108.5,60815.58,61456.44,31.5,0.1115,0.0795,52.1,0.083,68.52,68.88,0.0835,69.19,0.0839,69.25,0.084,16.6,44.5,0.0835,68.66,68.84,0.08375,69.18,0.0841,69.02,0.084,16.1,0.5062,3e-05,-67.2849,84.64189,30.917,67.9,68.4,0.5,1,1,55
"2024-04-17 19:41:35.651","2024-04-17 19:41:46.304","2024-04-17 19:41:46.304","237","297861617","BTC-31MAY24-63000-C","BTC","2024-05-31 08:00:00",63000,"C",,,"buy","ZeroMinus",0.2,69.07,72.6,0.084,5108.07,60810.45,61446.41,31.3,0.1115,0.0795,52.1,0.083,68.52,68.88,0.0835,69.19,0.0839,69.25,0.084,16.6,35.3,0.0835,68.71,68.89,0.08375,69.18,0.0841,69.07,0.084,16.2,0.5059,3e-05,-67.2751,84.62896,30.8971,67.9,68.3,0.3,1,1,77
"2024-04-17 19:41:35.68","2024-04-17 19:41:45.472","2024-04-17 19:41:45.472","74","297861610","BTC-18APR24-61500-C","BTC","2024-04-18 08:00:00",61500,"C",,,"buy","ZeroMinus",0.1,68.98,69.1,0.0055,334.4,60801.03,60778.4828,30.2,0.0205,0.0041,1.8,0.005,66.12,67.98,0.00525,68.47,0.0053,69.84,0.0055,0.5,56.4,0.005,65.27,67.12,0.00525,68.48,0.0054,68.98,0.0055,0.2,0.3274,0.00023,-281.5333,8.22176,0.2747,22.6,22.9,0.2,1,1,100
